ProductID,ProductName,Category,CostPrice,Supplier,LaunchDate
1,System Series 275,Home Office,2219,ScandiForm AB,2023-02-19
2,Magazine Series 296,Dining,1739,NordCraft Manufacturing,2024-03-14
3,Strategy Series 637,Lighting,1454,Aurora Living Group,2023-11-29
4,Fall Series 602,Lighting,1407,Aurora Living Group,2024-09-09
5,Reach Series 679,Sofas,702,ScandiForm AB,2023-07-02
6,Medical Series 311,Lighting,2369,Aurora Living Group,2024-11-18
7,Certainly Series 715,Sofas,1955,ScandiForm AB,2024-02-26
8,Police Series 448,Dining,2551,NordCraft Manufacturing,2024-08-22
9,Third Series 285,Sofas,2278,FjällHome Industries,2024-10-23
10,Event Series 498,Sofas,347,FjällHome Industries,2023-09-18
11,Too Series 635,Decor,1084,ScandiForm AB,2024-04-20
12,Accept Series 684,Home Office,2872,Aurora Living Group,2024-08-11
13,Wish Series 445,Home Office,649,FjällHome Industries,2023-08-22
14,Loss Series 466,Home Office,2455,ScandiForm AB,2023-11-28
15,Voice Series 654,Bedroom,693,NordCraft Manufacturing,2025-02-13
16,Realize Series 830,Dining,1144,NordCraft Manufacturing,2025-06-07
17,Bill Series 267,Lighting,2159,ScandiForm AB,2023-08-14
18,Piece Series 168,Sofas,922,ScandiForm AB,2024-04-14
19,Turn Series 532,Decor,954,ScandiForm AB,2023-03-27
20,Thank Series 995,Home Office,936,Aurora Living Group,2024-11-01
21,Assume Series 491,Sofas,576,NordCraft Manufacturing,2025-05-25
22,Three Series 612,Decor,609,NordCraft Manufacturing,2024-04-21
23,Want Series 175,Home Office,2344,Aurora Living Group,2025-04-04
24,Scene Series 923,Lighting,2235,Aurora Living Group,2025-03-30
25,Wall Series 350,Dining,1127,Aurora Living Group,2023-09-05
26,College Series 106,Lighting,2383,NordCraft Manufacturing,2023-07-03
27,Reflect Series 887,Lighting,2140,Aurora Living Group,2024-09-25
28,Join Series 544,Lighting,2608,NordCraft Manufacturing,2023-03-18
29,Human Series 144,Dining,2135,Aurora Living Group,2025-05-27
30,Sort Series 803,Lighting,2804,FjällHome Industries,2024-12-12
31,Whatever Series 425,Lighting,1798,Aurora Living Group,2023-03-27
32,Dog Series 924,Home Office,2086,Aurora Living Group,2024-11-29
33,Half Series 252,Lighting,3355,NordCraft Manufacturing,2025-03-20
34,Past Series 283,Dining,1273,ScandiForm AB,2023-08-19
35,Less Series 212,Lighting,2782,ScandiForm AB,2025-03-22
36,Still Series 863,Dining,339,Aurora Living Group,2023-11-12
37,Ask Series 289,Decor,1455,Aurora Living Group,2025-04-30
38,Visit Series 390,Dining,2232,ScandiForm AB,2024-07-29
39,Benefit Series 412,Decor,760,ScandiForm AB,2024-02-05
40,Off Series 301,Dining,3195,FjällHome Industries,2023-02-05
