OrderID,OrderDate,CustomerID,ProductID,StoreID,SalesChannel,Quantity,UnitPrice,DiscountPercent
100000,2/17/2025,62,40,3,Store,1,5997,0.21
100001,3/6/2026,24,14,11,Online,4,6809,0.2
100002,10/23/2023,117,28,8,Online,2,627,0.19
100003,11/20/2023,69,23,11,Store,3,2294,0.24
100004,9/19/2024,114,17,8,Online,4,2214,0.11
100005,4/19/2025,118,4,2,Store,2,618,0.28
100006,9/16/2024,93,32,1,Online,1,6093,0.24
100007,2/23/2025,57,37,5,Online,2,3869,0.01
100008,8/5/2024,37,35,1,Online,3,6171,0.12
100009,2/14/2025,51,33,11,Store,3,1570,0.19
100010,11/6/2025,7,32,1,Store,5,7436,0.29
100011,2/3/2025,85,35,11,Online,3,4253,0.28
100012,10/23/2025,10,7,12,Online,2,3325,0.21
100013,8/20/2025,59,34,6,Store,5,1942,0.02
100014,11/19/2025,6,5,3,Online,5,4030,0.12
100015,11/30/2023,37,18,8,Online,2,1670,0.12
100016,7/11/2023,17,38,2,Store,1,4877,0.06
100017,3/3/2025,64,22,4,Online,4,2694,0.09
100018,2/5/2026,48,18,10,Online,4,2547,0.12
100019,8/28/2023,24,15,3,Store,3,5038,0.23
100020,8/7/2023,95,4,2,Store,3,673,0.18
100021,12/20/2024,12,13,7,Store,5,1120,0.23
100022,10/6/2024,6,33,6,Online,3,4926,0.02
100023,5/30/2023,108,7,2,Online,2,1870,0.07
100024,10/29/2024,26,4,3,Store,1,1271,0.22
100025,2/16/2024,74,28,7,Store,4,7039,0.18
100026,3/27/2023,4,15,2,Store,1,6080,0.15
100027,3/4/2025,111,32,5,Store,5,2721,0.13
100028,5/27/2025,72,6,2,Online,2,4886,0.26
100029,8/21/2025,43,34,12,Online,1,7064,0.07
100030,1/6/2023,15,16,8,Store,4,699,0.21
100031,6/15/2025,62,26,8,Online,5,3091,0.11
100032,10/1/2023,8,19,2,Online,1,4531,0.09
100033,5/2/2024,6,4,2,Online,5,7070,0.15
100034,12/7/2024,38,10,4,Store,5,2568,0.2
100035,9/6/2025,1,19,10,Store,5,7223,0.01
100036,9/9/2025,33,24,12,Store,5,4942,0.02
100037,4/24/2025,11,40,9,Online,5,3616,0.19
100038,12/12/2025,14,1,10,Store,1,5954,0.19
100039,4/21/2024,108,32,6,Store,5,1511,0.16
100040,9/9/2023,116,10,12,Online,2,6780,0.29
100041,3/10/2024,43,8,1,Online,3,4098,0.19
100042,1/15/2025,112,5,12,Store,3,5519,0.26
100043,10/19/2023,93,14,4,Store,1,6129,0.19
100044,9/18/2024,49,29,3,Store,2,5599,0.1
100045,4/8/2026,117,30,3,Online,4,2991,0.26
100046,12/25/2024,43,39,2,Online,3,3227,0.18
100047,2/6/2025,3,39,6,Store,2,6128,0.05
100048,8/14/2024,97,13,5,Online,4,3906,0.11
100049,10/24/2023,13,9,4,Online,2,2879,0.04
100050,6/4/2024,7,23,10,Store,2,4448,0.07
100051,3/7/2023,54,7,8,Store,1,3757,0.12
100052,6/16/2024,34,28,12,Online,5,6536,0.18
100053,9/16/2023,71,13,6,Store,4,6993,0.17
100054,11/17/2024,112,4,5,Store,3,5239,0.28
100055,5/6/2024,48,23,11,Store,3,3150,0.27
100056,3/19/2023,117,17,4,Online,1,1626,0.04
100057,2/15/2025,104,15,7,Online,1,1745,0.02
100058,3/9/2026,116,30,2,Store,2,3083,0.14
100059,3/6/2023,15,18,5,Store,2,6473,0.26
100060,1/11/2023,80,33,11,Online,4,1353,0.18
100061,5/23/2025,37,31,8,Online,2,4287,0.27
100062,9/24/2024,55,1,12,Store,2,3506,0.14
100063,5/31/2025,25,24,8,Online,5,7057,0.12
100064,2/22/2024,78,17,5,Store,1,1744,0.09
100065,2/1/2023,71,36,4,Online,4,1176,0.08
100066,6/26/2025,41,6,11,Online,2,4055,0.26
100067,11/21/2025,18,8,12,Store,5,6025,0.16
100068,9/23/2025,46,26,1,Store,4,4938,0.13
100069,3/12/2025,20,30,9,Online,1,1192,0.19
100070,9/23/2023,90,12,1,Online,3,6837,0.09
100071,1/3/2025,56,39,3,Store,2,4264,0.07
