StoreID,StoreName,City,Region,StoreType,StoreOpenDate
1,Nordic Living Lake Derekville,Port Diane,Nordic North,Outlet,2021-12-21
2,Nordic Living Westside,Deannamouth,Nordic South,Standard,2018-05-27
3,Nordic Living New Jenniferhaven,Allisonton,Nordic East,Outlet,2019-05-18
4,Nordic Living Wallaceside,New Jeffrey,Nordic South,Flagship,2018-10-01
5,Nordic Living Port Emilychester,Rodriguezhaven,Nordic South,Outlet,2019-05-16
6,Nordic Living Port Rhonda,Amberchester,Nordic West,Standard,2018-06-11
7,Nordic Living Carneyport,Erinmouth,Nordic East,Standard,2021-04-12
8,Nordic Living West Anita,West Courtney,Nordic South,Standard,2019-06-21
9,Nordic Living Jonesfort,East Judy,Nordic East,Flagship,2021-11-08
10,Nordic Living Port Williamtown,Johnfurt,Nordic North,Flagship,2020-12-25
11,Nordic Living Sharonstad,Lindseyview,Nordic East,Flagship,2019-08-11
12,Nordic Living Port Markside,Jacobborough,Nordic South,Standard,2019-03-27
